攤位編號,攤位名稱,攤主帳號,攤位圖片,區域,商品類型,時間,攤位介紹連結
A05,FilterGame,kkll7952,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2325390/header_tchinese.jpg,A區,遊戲創作,07/05(六),https://store.steampowered.com/app/2325390/AirBoost/
C08,大俠居,tony19920328,/placeholder.svg?height=200&width=300,C區,二手商品,07/05(六),https://example.com/booth/C08
A06,那些年我們一起玩遊戲,leojen,/placeholder.svg?height=200&width=300,A區,二手商品,07/05(六),https://example.com/booth/A06
D07,蚯蚓創作,siameses,/placeholder.svg?height=200&width=300,D區,自創商品,07/05(六),https://example.com/booth/D07
B06,秋森萬玩具,mark11332003,/placeholder.svg?height=200&width=300,B區,二手商品,07/05(六),https://example.com/booth/B06
A05,翻車魚冒險,Bibi,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1144240/header.jpg,A區,遊戲創作,07/05(六),https://store.steampowered.com/app/1144240/_/
D07,蚯蚓創作,siameses,/placeholder.svg?height=200&width=300,D區,自創商品,07/05(六),https://example.com/booth/D07
B06,秋森萬玩具,mark11332003,/placeholder.svg?height=200&width=300,B區,二手商品,07/05(六),https://example.com/booth/B06
